RW1,1,D,,
RW1,2,B,,
RW1,3,D,,
RW1,4,C,,
RW1,5,D,,
RW1,6,D,,
RW1,7,D,,
RW1,8,A,,
RW1,9,D,,
RW1,10,C,,
RW1,11,D,,
RW1,12,C,,
RW1,13,C,,
RW1,14,C,,
RW1,15,C,,
RW1,16,B,,
RW1,17,B,,
RW1,18,B,,
RW1,19,D,,
RW1,20,B,,
RW1,21,A,,
RW1,22,D,,
RW1,23,D,,
RW1,24,D,,
RW1,25,A,,
RW1,26,B,,
RW1,27,A,,
RW2,1,A,,
RW2,2,C,,
RW2,3,B,,
RW2,4,B,,
RW2,5,D,,
RW2,6,C,,
RW2,7,C,,
RW2,8,B,,
RW2,9,D,,
RW2,10,A,,
RW2,11,B,,
RW2,12,D,,
RW2,13,D,,
RW2,14,B,,
RW2,15,B,,
RW2,16,C,,
RW2,17,D,,
RW2,18,B,,
RW2,19,B,,
RW2,20,D,,
RW2,21,D,,
RW2,22,A,,
RW2,23,D,,
RW2,24,C,,
RW2,25,B,,
RW2,26,A,,
RW2,27,C,,
MATH1,1,B,,
MATH1,2,A,,
MATH1,3,D,,
MATH1,4,13,,
MATH1,5,B,,
MATH1,6,D,,
MATH1,7,202,,
MATH1,8,B,,
MATH1,9,552,,
MATH1,10,A,,
MATH1,11,B,,
MATH1,12,D,,
MATH1,13,B,,
MATH1,14,A,,
MATH1,15,C,,
MATH1,16,B,,
MATH1,17,28500,,
MATH1,18,216,,
MATH1,19,D,,
MATH1,20,2,,
MATH1,21,D,,
MATH1,22,C,,
MATH2,1,D,,
MATH2,2,A,,
MATH2,3,D,,
MATH2,4,C,,
MATH2,5,B,,
MATH2,6,196,,
MATH2,7,D,,
MATH2,8,D,,
MATH2,9,B,,
MATH2,10,C,,
MATH2,11,A,,
MATH2,12,B,,
MATH2,13,D,,
MATH2,14,A,,
MATH2,15,"5/72, 0.0694",,
MATH2,16,1680,,
MATH2,17,16/3,,
MATH2,18,700,,
MATH2,19,B,,
MATH2,20,C,,
MATH2,21,A,,
MATH2,22,B,,