RW1,14,B,,,
RW1,21,B,,,
RW2,3,B,,,
RW2,6,A,,,
RW2,8,A,,,
RW2,10,C,,,
RW2,11,C,,,
RW2,12,B,,,
RW2,13,D,,,
RW2,16,D,,,
RW2,18,D,,,
RW2,19,A,,,
RW2,20,B,,,
RW2,22,B,,,
RW2,23,C,,,
RW2,25,D,,,
RW2,26,B,,,
RW2,27,D,,,
MATH1,1,B,,,
MATH1,2,A,,,
MATH1,3,A,,,
MATH1,4,A,,,
MATH1,5,C,,,
MATH1,6,A,,,
MATH1,7,5980,,,
MATH1,8,46,,,
MATH1,9,B,,,
MATH1,10,C,,,
MATH1,11,C,,,
MATH1,12,D,,,
MATH1,13,5.25,,,
MATH1,14,42,,,
MATH1,15,C,,,
MATH1,16,4/3 or 1.333,,,
MATH1,17,C,,,
MATH1,18,A,,,
MATH1,19,B,,,
MATH1,20,2,,,
MATH1,21,缺题,,,
MATH1,22,D,,,
MATH2,1,A,,,
MATH2,2,B,,,
MATH2,3,C,,,
MATH2,4,D,,,
MATH2,S,C,,,
MATH2,6,缺题,,,
MATH2,7,B,,,
MATH2,8,A,,,
MATH2,9,D,,,
MATH2,10,0.6 or 3/5,,,
MATH2,11,B,,,
MATH2,12,D,,,
MATH2,13,39 or 40 or 41,,,
MATH2,14,D,,,
MATH2,15,C,,,
MATH2,16,D,,,
MATH2,17,缺题,,,
MATH2,18,A,,,
MATH2,19,C,,,
MATH2,20,缺题,,,
MATH2,21,缺题,,,
MATH2,22,27,,,