RW1,1,B,,,
RW1,2,B,,,
RW1,3,B,,,
RW1,4,B,,,
RW1,5,A,,,
RW1,6,A,,,
RW1,7,D,,,
RW1,8,B,,,
RW1,9,C,,,
RW1,10,D,,,
RW1,11,B,,,
RW1,12,D,,,
RW1,13,B,,,
RW1,14,D,,,
RW1,15,D,,,
RW1,16,C,,,
RW1,17,B,,,
RW1,18,B,,,
RW1,19,B,,,
RW1,20,B,,,
RW1,21,B,,,
RW1,22,A,,,
RW1,23,D,,,
RW1,24,B,,,
RW1,26,A,,,
RW1,27,C,,,
RW2,1,D,,,
RW2,2,D,,,
RW2,3,A,,,
RW2,4,B,,,
RW2,5,A,,,
RW2,6,C,,,
RW2,7,B,,,
RW2,8,A,,,
RW2,9,C,,,
RW2,10,A,,,
RW2,11,B,,,
RW2,12,B,,,
RW2,13,D,,,
RW2,14,A,,,
RW2,15,D,,,
RW2,16,B,,,
RW2,17,A,,,
RW2,18,A,,,
RW2,19,C,,,
RW2,20,A,,,
RW2,21,B,,,
RW2,22,A,,,
RW2,23,A,,,
RW2,24,B,,,
RW2,25,A,,,
RW2,26,C,,,
RW2,27,B,,,
MATH1,1,4,,,
MATH1,2,D,,,
MATH1,3,114,,,
MATH1,4,A,,,
MATH1,5,A,,,
MATH1,6,A,,,
MATH1,7,B,,,
MATH1,8,"0.25, .25, 14",,,
MATH1,9,C,,,
MATH1,10,B,,,
MATH1,11,B,,,
MATH1,12,D,,,
MATH1,13,B,,,
MATH1,14,C,,,
MATH1,15,B,,,
MATH1,16,C,,,
MATH1,17,D,,,
MATH1,18,"0.75,.75, 3/4",,,
MATH1,19,C,,,
MATH1,20,"1.058, 1.059, 18/17",,,
MATH1,21,D,,,
MATH1,22,D,,,
MATH2,1,14,,,
MATH2,2,B,,,
MATH2,3,B,,,
MATH2,4,"594, 1188, 792",,,
MATH2,5,C,,,
MATH2,6,A,,,
MATH2,7,B,,,
MATH2,8,-6,,,
MATH2,9,A,,,
MATH2,10,C,,,
MATH2,11,A,,,
MATH2,12,A,,,
MATH2,13,C,,,
MATH2,14,23,,,
MATH2,15,D,,,
MATH2,16,C,,,
MATH2,17,D,,,
MATH2,18,C,,,
MATH2,19,A,,,
MATH2,20,78,,,
MATH2,21,9,,,
MATH2,22,C,,,